City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
1,Albany,US,92.05,clear sky,42.6001,-73.9662,
6,Dusti,TJ,91.08,clear sky,37.3481,68.664,Hotel Izzat
11,Palafrugell,ES,88.56,overcast clouds,41.9174,3.1631,Hotel La Torre
17,Jamestown,US,85.01,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
27,Rudbar,AF,98.42,few clouds,30.15,62.6,
38,Buraydah,SA,98.64,few clouds,26.326,43.975,Mövenpick Qassim
61,Sur,OM,88.02,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
69,Itaituba,BR,89.37,overcast clouds,-4.2761,-55.9836,Hotel Campos
75,Altamira,BR,93.31,scattered clouds,-3.2033,-52.2064,Requinte Hotel
76,Atar,MR,86.56,light rain,20.5169,-13.0499,Oumou Elghoura
78,Blacksburg,US,92.98,scattered clouds,37.2296,-80.4139,Hilton Garden Inn Blacksburg University
84,Laguna,US,96.31,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
85,Victoria,HK,88.18,scattered clouds,22.2855,114.1577,Mini Central
117,Virginia Beach,US,96.03,broken clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
120,San Marcos,US,91.49,clear sky,33.1434,-117.1661,Hampton Inn San Marcos
131,Adrar,MR,96.31,broken clouds,20.5022,-10.0711,
135,Salina Cruz,MX,90.18,overcast clouds,16.1667,-95.2,Amerik HOTEL
142,Altagracia De Orituco,VE,90.14,clear sky,9.8601,-66.3814,Posada Quinta Mi Refugio
157,Tres Picos,MX,87.3,overcast clouds,15.8667,-93.5333,Tres picos Chiapas
171,Russell,US,91.9,scattered clouds,32.3502,-85.1999,Macs
173,Edd,ER,92.28,overcast clouds,13.9297,41.6925,
175,Elizabeth City,US,95.05,few clouds,36.2946,-76.2511,Hampton Inn Elizabeth City
178,Milton,US,94.24,few clouds,34.1322,-84.3007,Pine Ridge Manufactured House
181,Tepalcatepec,MX,91.51,broken clouds,19.1833,-102.85,Maria De Jesus
190,Acapulco,MX,87.62,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
193,Nago,JP,85.05,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
198,Redondo,PT,93.88,clear sky,38.6487,-7.5471,Monte Horta Maria Francisca
202,Sarakhs,IR,92.3,clear sky,36.5449,61.1577,مهمان سرای شرکت گاز
208,San Francisco,US,86.99,few clouds,37.7749,-122.4194,Edwardian Hotel
213,Goldsboro,US,93.45,broken clouds,35.3849,-77.9928,Hampton Inn Goldsboro
216,Caldwell,US,92.55,clear sky,43.6629,-116.6874,La Quinta Inn by Wyndham Caldwell
218,Cabo San Lucas,MX,97.11,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
235,Hamilton,US,94.24,haze,39.1834,-84.5333,Six Acres Bed & Breakfast
240,Aswan,EG,93.29,clear sky,24.0934,32.907,Nuba Nile
252,Lompoc,US,85.69,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
257,Bethel,US,95.04,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
261,Rawah,IQ,90.95,clear sky,34.4816,41.9093,بيت سميع
279,San,ML,89.49,overcast clouds,13.3034,-4.8956,Hôtel Teriya
282,Roswell,US,93.56,broken clouds,34.0232,-84.3616,La Quinta Inn & Suites by Wyndham Atlanta Roswell
286,Waddan,LY,85.53,clear sky,29.1614,16.139,محل الشريف محمد العايب
290,San Patricio,US,97.52,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
295,Slidell,US,93.13,scattered clouds,30.2752,-89.7812,Hampton Inn Slidell
301,Gerash,IR,93.34,broken clouds,27.6652,54.1371,Sa'adat House Gerash
304,Tall Kayf,TR,87.53,clear sky,37.0833,41.0667,
307,Bonneville,FR,86.18,overcast clouds,46.0802,6.4073,Hotel Bellevue
311,Camiri,BO,85.78,clear sky,-20.05,-63.5167,J R Hotel
325,Bam,IR,93.0,broken clouds,29.106,58.357,Bam Tourist Hotel
327,Umm Bab,QA,95.74,scattered clouds,25.2142,50.8072,
331,Sakakah,SA,98.17,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
336,La Mira,MX,87.03,overcast clouds,18.035,-102.3266,Cabaña San Francisco
337,Puerto Escondido,MX,90.43,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
343,Westport,US,96.37,clear sky,41.1415,-73.3579,The Westport Inn
345,Warah,PK,92.79,overcast clouds,27.4481,67.7978,Nizamuddin Lohaar Home Soomra Muhallah Bhittai Colony Warah.
347,San Andres,CO,86.02,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
352,Hellin,ES,87.53,clear sky,38.5106,-1.701,Hotel Restaurante Reina Victoria
359,Nurota,UZ,91.85,clear sky,40.5614,65.6886,Guest House Ruslan Nurata & Tours
