City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
0,Bratsk,RU,56.1325,101.6142,63.09,82,100,1.25,overcast clouds
1,Albany,US,42.6001,-73.9662,92.05,43,0,9.66,clear sky
2,Barrow,US,71.2906,-156.7887,39.22,87,100,10.36,mist
3,Hailar,CN,49.2,119.7,63.97,84,23,8.12,few clouds
4,Tautira,PF,-17.7333,-149.15,75.4,80,24,9.24,light rain
5,Todos Santos,MX,23.45,-110.2167,104.31,79,80,8.3,broken clouds
6,Dusti,TJ,37.3481,68.664,91.08,11,0,2.51,clear sky
7,Atuona,PF,-9.8,-139.0333,77.22,76,1,14.74,clear sky
8,Yellowknife,CA,62.456,-114.3525,65.01,49,90,9.53,overcast clouds
9,Dryden,CA,49.7833,-92.7503,73.17,46,100,10.63,overcast clouds
10,Gumla,IN,23.05,84.55,74.91,94,100,3.47,overcast clouds
11,Palafrugell,ES,41.9174,3.1631,88.56,73,94,5.01,overcast clouds
12,Busselton,AU,-33.65,115.3333,58.82,78,14,15.73,few clouds
13,Velikiy Ustyug,RU,60.7644,46.3106,61.92,75,14,4.05,few clouds
14,Vaini,TO,-21.2,-175.2,71.76,94,20,6.91,few clouds
15,Grand Gaube,MU,-20.0064,57.6608,70.38,73,1,5.99,clear sky
16,Buala,SB,-8.145,159.5921,79.09,83,11,4.61,few clouds
17,Jamestown,US,42.097,-79.2353,85.01,57,20,13.8,few clouds
18,Khatanga,RU,71.9667,102.5,44.29,88,100,14.23,overcast clouds
19,Port Alfred,ZA,-33.5906,26.891,65.07,64,100,5.7,overcast clouds
20,Springbok,ZA,-29.6643,17.8865,54.0,48,100,3.2,overcast clouds
21,Diego De Almagro,CL,-26.3667,-70.05,69.3,26,100,6.51,overcast clouds
22,Talnakh,RU,69.4865,88.3972,61.84,59,88,5.55,overcast clouds
23,Georgetown,MY,5.4112,100.3354,78.73,93,20,0.0,few clouds
24,Avarua,CK,-21.2078,-159.775,77.05,78,20,9.22,few clouds
25,Rikitea,PF,-23.1203,-134.9692,72.37,75,100,9.62,overcast clouds
26,Chimbote,PE,-9.0853,-78.5783,67.26,71,9,8.81,clear sky
27,Rudbar,AF,30.15,62.6,98.42,11,19,6.04,few clouds
28,Sortavala,RU,61.7053,30.6918,67.21,74,15,6.58,few clouds
29,Mataura,NZ,-46.1927,168.8643,33.48,98,15,2.95,few clouds
30,Bayanday,RU,53.0661,105.5139,56.89,96,100,3.94,overcast clouds
31,Mahebourg,MU,-20.4081,57.7,70.25,77,4,18.23,light rain
32,Alekseyevsk,RU,57.8406,108.3492,61.7,98,100,3.65,overcast clouds
33,Tiksi,RU,71.6872,128.8694,47.41,77,64,5.68,broken clouds
34,Inuvik,CA,68.3499,-133.7218,72.95,41,26,6.26,scattered clouds
35,Hermanus,ZA,-34.4187,19.2345,54.81,74,100,9.44,light rain
36,Bambous Virieux,MU,-20.3428,57.7575,70.21,77,6,17.65,light rain
37,Angouleme,FR,45.65,0.15,71.04,65,73,9.22,broken clouds
38,Buraydah,SA,26.326,43.975,98.64,10,19,10.36,few clouds
39,Tocopilla,CL,-22.092,-70.1979,64.78,71,97,11.5,overcast clouds
40,Ewa Beach,US,21.3156,-158.0072,82.35,63,40,12.66,scattered clouds
41,Waingapu,ID,-9.6567,120.2641,70.83,84,100,8.43,overcast clouds
42,Scarborough,GB,54.2797,-0.4044,60.37,79,100,4.0,light rain
43,Vestmannaeyjar,IS,63.4427,-20.2734,51.49,92,100,6.51,overcast clouds
44,Irtyshskiy,RU,58.3333,68.1333,54.16,91,11,6.06,few clouds
45,Punta Arenas,CL,-53.15,-70.9167,41.02,70,0,19.57,clear sky
46,Grindavik,IS,63.8424,-22.4338,55.87,82,75,6.91,broken clouds
47,Port Elizabeth,ZA,-33.918,25.5701,60.31,67,100,4.0,overcast clouds
48,Los Llanos De Aridane,ES,28.6585,-17.9182,71.35,73,20,18.41,few clouds
49,Kristiansund,NO,63.1115,7.732,57.25,71,75,11.5,broken clouds
50,Ushuaia,AR,-54.8,-68.3,33.46,100,100,23.02,sleet
51,Kutum,SD,14.2,24.6667,84.97,31,4,7.47,clear sky
52,Gwadar,PK,25.1216,62.3254,83.05,83,70,10.78,broken clouds
53,Longkou,CN,37.6508,120.3286,75.67,78,100,3.47,light rain
54,Vila Velha,BR,-20.3297,-40.2925,78.75,77,20,11.5,few clouds
55,Isabela,PH,6.7085,121.9711,78.48,88,98,4.0,moderate rain
56,Severo-Kurilsk,RU,50.6789,156.125,54.37,93,21,3.27,few clouds
57,Hasaki,JP,35.7333,140.8333,75.6,88,0,18.43,clear sky
58,Kapaa,US,22.0752,-159.319,80.92,76,40,12.66,scattered clouds
59,Mandera,KE,3.9366,41.867,80.69,50,26,18.68,scattered clouds
60,Katsuura,JP,35.1333,140.3,78.66,87,0,18.88,clear sky
61,Sur,OM,22.5667,59.5289,88.02,66,100,11.23,overcast clouds
62,Arraial Do Cabo,BR,-22.9661,-42.0278,75.06,78,0,13.8,clear sky
63,Olafsvik,IS,64.8945,-23.7142,54.0,77,13,3.91,few clouds
64,Cape Town,ZA,-33.9258,18.4232,58.26,85,100,3.0,light rain
65,Angoche,MZ,-16.2325,39.9086,72.59,72,0,7.87,clear sky
66,Fort Nelson,CA,58.8053,-122.7002,73.38,31,7,3.49,clear sky
67,Havre-Saint-Pierre,CA,50.2334,-63.5986,66.56,94,100,6.91,mist
68,Kavaratti,IN,10.5669,72.642,81.28,81,100,18.79,overcast clouds
69,Itaituba,BR,-4.2761,-55.9836,89.37,49,99,4.5,overcast clouds
70,Kodiak,US,57.79,-152.4072,56.71,51,0,6.91,clear sky
71,Aklavik,CA,68.2191,-135.0107,72.59,39,76,2.44,broken clouds
72,Shimoda,JP,34.6667,138.95,77.11,86,0,15.66,clear sky
73,Garissa,KE,-0.4536,39.6401,74.52,64,99,23.58,overcast clouds
74,Saint-Philippe,RE,-21.3585,55.7679,67.59,83,45,13.13,light rain
75,Altamira,BR,-3.2033,-52.2064,93.31,35,37,2.55,scattered clouds
76,Atar,MR,20.5169,-13.0499,86.56,59,63,18.01,light rain
77,New Norfolk,AU,-42.7826,147.0587,49.91,85,100,1.01,overcast clouds
78,Blacksburg,US,37.2296,-80.4139,92.98,47,40,5.75,scattered clouds
79,Iqaluit,CA,63.7506,-68.5145,43.36,76,91,6.67,overcast clouds
80,Coromandel,BR,-18.4733,-47.2003,77.25,32,0,6.33,clear sky
81,Sao Filipe,CV,14.8961,-24.4956,76.14,77,96,4.65,overcast clouds
