City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Valdivia,CL,2022-07-20 17:39:22,-39.8142,-73.2459,53.69,96,100,7.85
1,Samarai,PG,2022-07-20 17:39:22,-10.6167,150.6667,79.88,81,36,9.86
2,Kapaa,US,2022-07-20 17:39:23,22.0752,-159.319,75.52,88,75,9.22
3,Rikitea,PF,2022-07-20 17:39:22,-23.1203,-134.9692,72.95,75,2,0.83
4,Ati,TD,2022-07-20 17:39:23,13.2154,18.3353,90.32,45,52,1.68
5,Saldanha,ZA,2022-07-20 17:39:24,-33.0117,17.9442,50.05,62,0,13.04
6,Korla,CN,2022-07-20 17:39:25,41.7597,86.1469,69.96,45,10,5.64
7,Tiksi,RU,2022-07-20 17:39:25,71.6872,128.8694,35.82,95,98,10.98
8,Dingle,PH,2022-07-20 17:39:25,10.9995,122.6711,77.29,88,74,2.17
9,Ugoofaaru,MV,2022-07-20 17:39:26,5.6667,73.0,79.84,80,100,11.32
10,Albany,US,2022-07-20 17:39:26,42.6001,-73.9662,92.44,49,8,1.01
11,Hermanus,ZA,2022-07-20 17:35:33,-34.4187,19.2345,48.79,69,2,3.47
12,Muzhi,RU,2022-07-20 17:39:27,65.3667,64.6667,62.22,62,100,6.4
13,Boa Vista,BR,2022-07-20 17:39:28,2.8197,-60.6733,85.98,62,75,8.05
14,Taltal,CL,2022-07-20 17:39:28,-25.4,-70.4833,61.77,73,97,6.89
15,Lenger,KZ,2022-07-20 17:39:29,42.183,69.8839,83.64,19,0,10.92
16,Kahului,US,2022-07-20 17:33:14,20.8947,-156.47,73.42,78,40,10.36
17,Hithadhoo,MV,2022-07-20 17:38:02,-0.6,73.0833,80.46,72,100,4.97
18,Sirsa,IN,2022-07-20 17:39:30,29.5333,75.0167,83.07,74,87,15.19
19,Davidson,US,2022-07-20 17:39:30,36.1501,-86.7833,95.68,60,40,13.0
20,Mackay,AU,2022-07-20 17:39:31,-21.15,149.2,66.69,92,100,16.49
21,Mataura,NZ,2022-07-20 17:39:31,-46.1927,168.8643,39.47,91,47,1.88
22,Lago Da Pedra,BR,2022-07-20 17:39:32,-4.3333,-45.1667,91.27,34,15,4.74
23,College,US,2022-07-20 17:39:32,64.8569,-147.8028,58.06,83,75,3.44
24,Sobolevo,RU,2022-07-20 17:35:49,54.4299,31.8996,57.92,75,45,10.09
25,Katherine,AU,2022-07-20 17:39:33,-14.4667,132.2667,59.32,63,74,8.05
26,Thompson,CA,2022-07-20 17:36:36,55.7435,-97.8558,62.76,82,75,6.91
27,Puerto Ayora,EC,2022-07-20 17:35:30,-0.7393,-90.3518,76.96,92,87,8.01
28,Pataias,PT,2022-07-20 17:39:34,39.6698,-8.9958,83.93,71,0,12.24
29,Upernavik,GL,2022-07-20 17:39:34,72.7868,-56.1549,48.25,68,64,8.01
30,Robat Karim,IR,2022-07-20 17:39:35,35.4846,51.0829,94.48,10,0,6.91
31,Bhag,PK,2022-07-20 17:39:35,29.0415,67.8239,101.59,41,5,8.16
32,Kofele,ET,2022-07-20 17:39:35,7.0667,38.7833,50.25,97,100,3.49
